ts,event_type,payload_json
2026-05-09T22:58:55.744769+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T22:58:55.745820+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-424e21efa2"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000494, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0494, ""created_at"": ""2026-05-09T22:58:55.745802+00:00""}"
2026-05-09T22:58:55.746793+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""82040226-62a1-44bc-bbda-f9f98ac5a8ac"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-09T22:59:12.560354+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T22:59:12.563094+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-956c0963af"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000527, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0527, ""created_at"": ""2026-05-09T22:59:12.563076+00:00""}"
2026-05-09T22:59:12.564063+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""9efcae17-1fe4-4b71-baa3-28f64595ee99"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-09T23:00:13.516139+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-71c8f670f4"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100045.356981, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0454, ""created_at"": ""2026-05-09T23:00:13.516122+00:00""}"
2026-05-09T23:00:13.572189+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-09T23:00:13.573223+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-timeout-992f0b34"", ""status"": ""TIMEOUT"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 0.0, ""fee_usdt"": 0.0, ""slippage_pct"": 0.0, ""created_at"": ""2026-05-09T23:00:13.573207+00:00""}"
2026-05-09T23:00:13.574181+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""daa69cb6-e23a-47a3-9180-462fae33d42f"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T00:32:22.023937+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-adf4d46ec0"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100049.241319, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0492, ""created_at"": ""2026-05-10T00:32:22.023921+00:00""}"
2026-05-10T00:32:22.152710+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T00:32:22.153788+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-16584d52bf"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000501, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0501, ""created_at"": ""2026-05-10T00:32:22.153773+00:00""}"
2026-05-10T00:32:22.154736+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""66fb0ad3-d86c-4b9f-945b-97bc1d2ba975"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T00:48:31.598718+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-d8464680ff"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100052.379285, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0524, ""created_at"": ""2026-05-10T00:48:31.598693+00:00""}"
2026-05-10T00:48:31.736395+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T00:48:31.737385+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-a6af7b18cd"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000495, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0495, ""created_at"": ""2026-05-10T00:48:31.737370+00:00""}"
2026-05-10T00:48:31.738276+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""74318dc4-4036-48b6-94c8-93ade886b16e"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:04:18.439840+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-5ae6dcbfc3"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100046.4607, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0465, ""created_at"": ""2026-05-10T01:04:18.439800+00:00""}"
2026-05-10T01:04:18.597853+00:00,ORDER_REJECTED_BY_RISK,"{""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}, ""reasons"": [""quote: 지연 99.00s > 5.00s""]}"
2026-05-10T01:04:18.598849+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-c6e3430ae1"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 1.000543, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0543, ""created_at"": ""2026-05-10T01:04:18.598813+00:00""}"
2026-05-10T01:04:18.599785+00:00,ORDER_QUEUED_FOR_APPROVAL,"{""approval_id"": ""e874b5d1-d6bf-4a26-911b-e798fee16a30"", ""order"": {""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10, ""leverage"": 1}}"
2026-05-10T01:11:32.512104+00:00,PAPER_ORDER_FILLED,"{""order_id"": ""paper-88d6a3605d"", ""status"": ""FILLED"", ""symbol"": ""BTC/USDT"", ""side"": ""BUY"", ""notional_usdt"": 10.0, ""filled_price"": 100058.372418, ""fee_usdt"": 0.005, ""slippage_pct"": 0.0584, ""created_at"": ""2026-05-10T01:11:32.512039+00:00""}"
